"address_mesh_block_2016_pid","address_detail_pid","mesh_block_pid","date_created","mb_match_code"
"ACT1547490736","GAACT714845933","80006300000","2016-08-09","1"
"ACT1547490737","GAACT714845934","80006310000","2016-08-09","1"
"ACT1547490738","GAACT714845935","80006380000","2016-08-09","1"
"ACT1547490739","GAACT714845936","80006280000","2016-08-09","1"
"ACT1547490740","GAACT714845938","80025270000","2016-08-09","1"
"ACT1547490741","GAACT714845939","80006380000","2016-08-09","1"
"ACT1547490742","GAACT714845941","80025270000","2016-08-09","1"
"ACT1547490743","GAACT714845942","80006310000","2016-08-09","1"
"ACT1547490744","GAACT714845943","80006380000","2016-08-09","1"
"ACT1547490745","GAACT714845944","80025270000","2016-08-09","1"
